"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",2663.68277626601,2654.16165286907,2648.84974391372,2650.84942323277,2650.84304526947,2652.42546505822
"2",2643.01043467462,2629.5651805287,2631.57881356164,2631.56522576245,2633.57593412185,2633.56526009292
"3",2821.49000856454,2799.32558041878,2793.34557967977,2795.09230225119,2795.3449468688,2797.09721798237
"4",2692.07992873892,2673.63424725613,2673.21906235611,2674.98772395702,2675.2183369519,2676.66913938893
"5",2701.36530538535,2682.55488135112,2683.01572752085,2684.58504153911,2685.01697795458,2685.94034714851
"6",2844.14340858362,2823.26849094357,2823.72584652976,2824.44176562016,2825.72216904694,2826.48103922314
"7",2644.31288269961,2604.76308649108,2610.64495694755,2606.22086758726,2612.65113074515,2607.69033276265
"8",2699.97331807263,2688.99435440359,2686.49552578952,2688.49561116344,2688.49334700851,2690.41257859661
"9",2798.90861780348,2765.25027163383,2765.02714394263,2765.29995247977,2767.02726760712,2767.17188884644
"10",2700.42857507589,2695.37099403136,2694.67761220556,2696.63689120462,2696.67763561702,2698.63692370121
"11",2726.03671166011,2693.20036971641,2691.86912834733,2693.30314988086,2693.87084258754,2695.16586656626
"12",2800.34791426026,2789.0314267658,2785.08706572781,2786.99653809753,2787.08719506451,2789.07274096089
"13",2545.49577042355,2527.36044400991,2532.95275646023,2529.36309989084,2534.94693524588,2531.35502924666
"14",2672.88478537797,2661.41391905574,2658.09712476989,2660.10943349007,2660.07070105987,2661.62608379337
"15",2720.60342599878,2703.66212511127,2702.83202219463,2703.91305116176,2704.83271531583,2705.91089212357
"16",2837.63672991986,2817.78924004818,2812.87598539011,2814.69878644528,2814.87617743448,2816.65852304808
"17",2706.25760461448,2697.9559800528,2697.32113090856,2699.33910743166,2699.26363331409,2701.31062195487
"18",2697.23579557204,2690.32052242489,2689.26916155033,2691.27768512668,2691.27733974037,2693.27406260078
"19",2835.60716079798,2822.93427417268,2822.54178757827,2824.52596959474,2824.5417777246,2826.4049363825
"20",2780.40237882181,2755.14817369434,2757.01786762758,2756.79947067775,2759.0182968355,2758.84112768921
"21",2816.53578274872,2806.49859135111,2805.56927009506,2807.31928356464,2807.56762201324,2809.32184244505
"22",2764.73169238547,2744.76629240082,2742.0228275094,2743.4497515465,2744.01381984501,2745.45351698271
"23",2749.21587044427,2732.43964308899,2732.07635471625,2733.41078288128,2734.077120582,2735.41814298725
"24",2699.99972912902,2695.69117687625,2695.59969627518,2697.49261322862,2697.59998169416,2699.48753210496
"25",2717.33246463584,2713.77320036254,2711.67898952902,2713.67907864684,2712.72225634005,2714.64837453397
"26",2644.92067650628,2631.87930345105,2630.23669323264,2632.23932792764,2632.14827124838,2634.00317220498
"27",2716.11366890326,2699.47245591765,2697.54582047172,2699.54515245947,2699.26143744477,2701.30320521027
"28",2823.24735186176,2806.32674501449,2803.79384446993,2805.72780718661,2805.79401647092,2807.72779748145
"29",2704.0019968359,2690.69207618102,2688.45020516526,2690.42102823907,2690.45243269201,2692.42290681461
"30",2660.7139176204,2631.07348447911,2633.31303503161,2631.07677743095,2635.31492490611,2633.07835375311
"31",2711.89099562639,2698.95033807588,2689.45161151048,2691.45174856754,2691.4439603578,2692.26296455377
"32",2832.71528499978,2830.04377874701,2827.26887538764,2829.26964788178,2827.63009258443,2829.23392141545
"33",2724.83900535787,2698.92544315447,2695.26828958817,2696.33081878722,2697.25613630309,2698.36875241965
"34",2647.03176686182,2627.91917531135,2624.92273979561,2626.66957917714,2626.91735537355,2628.17664535058
"35",2944.5682701468,2935.44885623097,2929.63498284526,2931.632177537,2931.35021586798,2933.16182703474
