"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",1776.89747876918,1776.07229976319,1771.54166300342,1777.75536319359,1777.16094844945,1782.93833422663
"2",1816.3717987165,1807.35717988484,1812.80411021876,1813.57110909675,1819.01719252289,1819.78675541089
"3",1850.35690419868,1838.31024424918,1836.33009134862,1842.17636625942,1842.54067591604,1848.4773666344
"4",1833.51040842722,1825.36295456474,1824.99818315505,1831.09413516761,1831.20458626416,1837.15080753889
"5",1787.87306751266,1785.79564901128,1787.10667520667,1792.01858933034,1793.32363148222,1798.22451726519
"6",1944.95512516879,1938.92132168001,1936.65980615264,1942.97578929573,1942.87261801005,1949.13947090301
"7",1747.13278919586,1733.65519770409,1736.66059590501,1739.39106815172,1742.87536086033,1745.60493320068
"8",1766.60278473071,1766.65710381237,1765.70906658157,1771.92335376504,1771.93746716331,1778.13930097822
"9",1917.29055755102,1906.81514693494,1906.20462957772,1912.16295540089,1912.41831500921,1918.37290579767
"10",1851.75889874368,1853.47214394345,1852.84255865754,1859.04361328017,1859.05718365658,1865.25775570579
"11",1799.14733985836,1788.18051342744,1788.94479952142,1794.31438246878,1795.15970860575,1800.2960725505
"12",1900.92084185995,1899.00570034564,1894.5840458232,1900.79833166192,1900.51593879748,1906.56544171725
"13",1755.75369649669,1746.27284713031,1752.85426594923,1752.48411600635,1759.0698216039,1758.70690021008
"14",1823.43702045206,1813.61742785711,1815.18024099799,1819.77252528283,1821.39107614121,1825.98758307774
"15",1824.60339047768,1815.47050007388,1816.89294738013,1821.55134602149,1823.10429289,1827.7706485613
"16",1872.50504064751,1860.71417366785,1856.47526302406,1862.59009865029,1862.68564768867,1868.65505598359
"17",1812.99400459424,1805.79619160313,1802.33021511339,1808.61299184122,1808.39189445446,1813.93970195346
"18",1792.71801238058,1795.35094768344,1795.26711765467,1801.47269992455,1801.47295695521,1807.72577959361
"19",1859.95424956322,1858.96726095379,1859.13607841485,1865.18529303032,1865.35048198304,1871.29627106013
"20",1903.19727403479,1884.86938242816,1885.6505900299,1890.40903576731,1891.86523948869,1896.49051912576
"21",1881.9492802696,1877.16642234973,1874.196195138,1880.34555602598,1880.4107595923,1886.57615593733
"22",1855.59441624357,1840.8068643522,1835.42197060037,1841.1614121468,1841.63141289678,1847.37803814126
"23",1855.56789919578,1844.36494332032,1846.45494148294,1850.30253154493,1852.66850792686,1856.52081574769
"24",1781.58325835705,1773.60325365643,1773.37321668329,1778.30675367432,1779.58395914139,1784.51738374435
"25",1805.05738554753,1807.11201594763,1805.31645999887,1811.53115321907,1810.39413025799,1816.60606599912
"26",1713.92198182105,1715.52873417579,1716.01444199292,1721.7428376571,1722.24320964949,1727.94051716278
"27",1863.72535179173,1850.11205843725,1849.41160121657,1855.62594952805,1855.59174581778,1861.80614364864
"28",1898.60863392507,1895.05439601662,1893.63748622389,1899.86709293397,1899.86933441428,1906.06032199187
"29",1773.92271914456,1764.75444654208,1761.39972146377,1767.40942249888,1767.61142087898,1773.62128941812
"30",1785.16592201843,1767.12550578806,1765.98365344938,1769.48275795232,1772.19828131629,1775.69815067464
"31",1794.24430761421,1792.04394612313,1785.77056969476,1791.98525247157,1791.77132190033,1797.38651291656
"32",1943.79219427898,1946.58841769424,1945.03543824354,1951.24977577974,1950.03958240757,1955.80324043805
"33",1865.68124226577,1854.49938937073,1854.30407343664,1859.5595083007,1860.49560453322,1865.77653075537
"34",1796.37721385141,1787.12467668543,1783.0981232,1789.23782174574,1789.31286108791,1795.22024997631
"35",2029.486228856,2026.09936071089,2017.10624869574,2023.32080042449,2023.34985670437,2029.15258138032
"36",1841.79894336164,1841.73454850651,1839.61706832724,1845.83322628863,1844.25142756059,1850.46623235446
"37",1911.47896448521,1916.08657424879,1914.86668560672,1921.08037262758,1919.02721351188,1925.2414486255
"38",1810.50562958132,1806.69977112295,1808.76521405838,1812.91314151752,1814.96823212811,1819.13551741577
"39",1889.7665295153,1875.43549980062,1872.93805702272,1879.15266606091,1879.16648167683,1885.04028495493
"40",1811.9246506753,1811.99443348603,1811.88693481709,1817.97695702479,1818.09941797269,1824.19212499554
"41",1808.73392205817,1805.43995583605,1803.84676157696,1810.04860843014,1810.05997438379,1816.22655894538
"42",1874.06845271042,1876.4834467923,1875.35695448636,1881.57125514783,1881.34996923747,1887.5662438414
"43",1849.04615736657,1852.36105821514,1849.241818335,1855.45373523234,1854.00765238206,1860.2190297223
"44",1906.90167739856,1895.79329531753,1894.75784688947,1900.3607470473,1900.9720005665,1906.58239355241
"45",1816.32080474294,1810.85958911627,1804.61311162525,1810.83624028082,1810.33716248304,1816.55640432429
"46",2001.98769420063,1975.132862586,1969.42988061555,1974.8861250632,1975.65401749602,1981.09338200697
"47",1925.27401896041,1909.19460172221,1909.57891708888,1915.470413523,1915.79890426543,1921.08845637168
"48",1755.05216924899,1737.77558899569,1741.97911717151,1743.90969921952,1748.1939556746,1750.11285881963
"49",1731.94491588598,1723.51497454418,1716.20210002111,1722.26693059875,1722.4146199015,1728.4818408389
"50",1834.38038094622,1830.36519585862,1828.54649593503,1834.62320871844,1834.76012661719,1840.83965313311
"51",1925.74458587931,1908.81036653404,1908.5720580999,1914.0575580544,1914.79964167972,1920.16184029066
"52",1993.43232452172,1988.2814192068,1985.7162883393,1991.69612951863,1991.93624643514,1997.90779088314
"53",1766.10798499492,1756.29887236918,1758.31787612327,1761.98537427953,1764.53223337997,1768.20016769633
"54",1817.62598472241,1814.87045660781,1812.6947383608,1818.9060789767,1818.06551340057,1824.28031338912
"55",1750.92466305627,1753.69017223447,1752.0401656353,1758.25005046661,1751.19971817962,1757.3546216829
"56",1883.60570318868,1883.20434205557,1881.94743883759,1888.16199810602,1887.64236514008,1893.85714345623
"57",1783.75162731721,1787.96554071185,1788.27779428616,1794.18048685733,1794.49200547097,1800.39463465446
"58",1782.49583850754,1786.52317004127,1784.09301354391,1790.30494639779,1788.04045936442,1794.2297549008
"59",1874.70911906422,1874.60337240206,1872.26331171284,1878.4756688024,1877.97731431055,1883.69017419479
"60",1819.74545961187,1802.79634706801,1797.53704631344,1803.01194345709,1803.75156952567,1809.2263758651
"61",1787.77570335219,1792.23148339016,1792.00436305522,1798.21946194618,1798.21878485683,1804.32628245379
"62",1844.38107314902,1844.43308463423,1842.78393660644,1849.00028572406,1848.92402168964,1855.06691835204
"63",1832.84807911546,1828.31436242666,1829.58490282002,1834.45588260137,1835.79937210012,1840.67338272827
"64",1875.61856039641,1869.98481126626,1865.97343192925,1872.18157369375,1872.19307920453,1877.96979941612
"65",1828.30164887179,1833.05363522369,1830.48206766285,1836.6977877274,1833.36518017143,1839.3420617095
"66",1852.84066310255,1853.65503848431,1853.01566380542,1859.21421882265,1859.19629130241,1865.39985658802
"67",1877.6587940846,1870.13014361676,1873.77666967996,1876.34296714181,1879.99120632621,1882.5619181888
"68",1911.83663109652,1916.97257865341,1914.99692674487,1921.20937831011,1917.04304433424,1923.23875042232
"69",1770.72905062914,1772.50791837671,1772.47242431498,1778.72169886096,1778.68725069197,1784.86316475101
"70",1858.47715805484,1852.32910953598,1853.28600938217,1858.5559839073,1859.49960896737,1864.7722884485
"71",1848.34374775582,1843.06114506851,1841.41507333134,1847.17011536907,1847.62830354447,1853.384682957
"72",1865.17842827567,1859.0102283547,1853.68390375825,1859.8943064622,1859.9028374742,1865.29989965994
"73",1838.08862426467,1824.60632130404,1814.76902006322,1820.99398467555,1820.7316989133,1826.65799204689
"74",1757.20901333411,1754.20708710948,1754.48388586497,1760.31336425517,1760.70139220638,1766.52881591652
"75",1775.43554735195,1764.53892183688,1762.23616314006,1768.09309344869,1768.45210652424,1774.30476907014
"76",1778.18726194637,1771.08336081998,1769.72625916725,1775.70734740784,1775.94003800914,1781.93722428685
"77",1779.47531939698,1785.62170348222,1785.588418749,1791.82164508366,1790.9370357241,1797.12938410908
"78",1816.39777021919,1805.37747488371,1801.27461065133,1807.15066156293,1807.49116939092,1813.36240990584
"79",1877.85411065745,1874.88883840415,1875.27193632657,1880.90992866812,1881.48449818884,1887.12823053732
"80",1897.8163908427,1894.11793447818,1888.06364442868,1894.30235930042,1892.78073557234,1898.09153679723
"81",1863.55268898201,1862.83028293777,1862.51499405073,1868.68994516995,1868.72757391724,1874.90268519567
"82",1798.61530231534,1797.66105294839,1795.22229091396,1801.43948929283,1801.4424855146,1807.36868368114
"83",1855.83023787985,1853.51941061481,1849.55302521854,1855.76744810324,1855.05287801213,1860.66894789991
"84",1829.92549005922,1830.7187902428,1829.04446678916,1835.25799753035,1835.05186199957,1840.79170772945
"85",1778.9320551238,1781.77435398901,1782.38674392458,1787.99184142029,1788.60250485535,1794.20346680372
"86",1834.31698961757,1834.79775457106,1835.44519370787,1841.01200695515,1841.66080702312,1847.23330598041
"87",1926.093381522,1914.47435459416,1912.29656195742,1918.50662123438,1918.51728372138,1924.65000370907
"88",1738.2281149873,1743.19656858777,1742.49947180083,1748.71383131991,1747.93396051685,1753.97233079548
"89",1926.96484779254,1918.78823084949,1917.98836384795,1923.61445227598,1924.20938582088,1929.83998721657
"90",1731.87310738768,1732.72119339173,1733.52243642449,1738.93565135402,1739.73691563563,1745.15022781507
"91",1911.38030396425,1914.23730749772,1914.08643701791,1920.21719682957,1920.29943541008,1926.43580505534
"92",1838.87169300066,1823.02110382525,1824.74657661422,1828.71235670038,1830.94031658774,1834.97065144056
"93",2009.19030554628,2009.74851692817,2001.58561253345,2007.81994862717,2003.23974469824,2009.15764739061
"94",1843.15192805953,1837.57773184784,1829.93663275728,1836.13187436701,1836.1508163256,1842.00171337713
"95",1892.65041409534,1889.06860121162,1885.70300243957,1891.91201380829,1891.88063941384,1897.8738855945
"96",1830.39302538239,1808.59707312452,1813.75791504357,1813.85747896317,1819.9785236138,1819.62803921999
"97",1835.80563240471,1831.50147336568,1818.45106961838,1824.66553037129,1822.42845721145,1828.58007433604
"98",1833.1615304529,1834.18279443586,1833.65828592611,1839.86315950677,1839.63050421187,1845.89478685559
"99",1854.37348899176,1851.0018655922,1840.35934891772,1846.60623601901,1845.67083111805,1851.81178450664
"100",1760.87327204247,1763.67133282912,1763.07467068314,1768.74497430739,1769.28949337199,1774.95885091527
"101",1831.08847895552,1832.51723075679,1830.90941426368,1837.12339078088,1836.52932318842,1842.73782502797
"102",1920.01438060932,1909.80927846412,1899.17247327589,1905.38373306225,1903.90707709165,1909.62803863208
"103",1684.24421741803,1687.64016411473,1688.26933255178,1693.85450440714,1694.48376990203,1700.0686861726
"104",1752.95803882786,1759.09604476707,1759.05565124379,1765.27029763024,1762.90297102885,1769.11639472312
"105",1715.68481033267,1712.61500295345,1710.16689324673,1716.38917236265,1716.37776354168,1722.55795194453
"106",1831.85908627738,1822.13466630127,1819.8038253522,1825.97710399926,1826.01876851857,1832.10493288954
"107",1799.78606539692,1801.23653444515,1800.02043053726,1806.23370551046,1805.91194007278,1812.12798234542
"108",2012.59264204559,2005.24716728439,2002.90344421274,2009.11461235045,2009.11176074833,2015.30544464163
"109",1842.89827243692,1825.76965582027,1818.01101953139,1824.14018543725,1824.25999375711,1830.36244260642
"110",1879.87016989732,1875.45413119165,1872.48429636001,1878.66772547064,1878.70168915436,1884.91930714611
"111",1867.2465797662,1840.67047645522,1839.38761159444,1843.86632466641,1845.60433155097,1850.08363957996
"112",1739.86315549592,1735.7257045159,1736.92757462868,1741.85522501353,1743.14317530552,1748.06889501765
"113",1733.91114571235,1736.87654956906,1734.84292786759,1741.05736632182,1739.6603032827,1745.77711884127
"114",1886.1957853842,1880.32014649262,1878.87146057931,1885.08023052873,1885.08724063668,1891.06451031766
"115",1890.57736967265,1879.41529565115,1871.90255039073,1877.98254220125,1878.12335637072,1884.34416997201
"116",1781.17538445328,1771.54403453737,1764.40332613622,1770.67225659075,1770.40794870947,1776.61064712407
"117",1850.36948230428,1832.77380553249,1827.51739333373,1832.01004550675,1833.73176770214,1838.22557693057
"118",1733.21750029264,1738.41208601803,1737.05033232636,1743.26503551316,1737.54372376485,1743.76115911267
"119",1872.90003106352,1845.02474176581,1842.13226639495,1847.65209679413,1848.32795053052,1853.76859767507
"120",1899.78589214807,1885.8160896592,1884.36212301304,1889.98001733614,1890.56759221877,1896.1466927712
"121",1833.75187276422,1831.69292891023,1830.25231768922,1836.46280174028,1836.47254673925,1842.68781206471
"122",1786.13184420407,1779.76892454261,1776.22034659876,1781.94553194094,1782.4325033521,1788.16074782219
"123",1858.15328061671,1853.36138422424,1854.32291852959,1858.60065850017,1860.53702422099,1864.81542259732
"124",1907.95288597565,1903.52817129303,1902.62991790536,1908.84036620418,1908.85603107081,1915.04320341705
"125",1833.54826083742,1832.86339798234,1832.43710700385,1838.65023730287,1838.64387446512,1844.85008174781
"126",1870.19327731398,1859.12809075821,1844.16424260517,1850.34879989393,1850.38472744487,1856.60057343891
"127",1949.24191835352,1935.54179233083,1931.08662775346,1937.30138147058,1937.30344133358,1943.51599184869
"128",1703.18547437289,1706.04145765554,1704.14173468716,1710.35609943339,1709.06892383204,1715.28332548535
"129",1902.1678995928,1874.26649761128,1871.28188500035,1877.07173584719,1877.49631877087,1882.67508188171
"130",1931.52770070643,1922.28288057614,1919.92412149964,1925.64773606105,1926.12338419954,1931.85796852487
"131",1907.68156998252,1905.20003833423,1906.29647698817,1911.42227447708,1912.51087637624,1917.6376480338
"132",1825.22751255824,1816.39476869958,1815.23749732979,1821.4571536254,1821.46400012366,1827.25261824188
"133",1708.04151046046,1707.84446396336,1705.15273944806,1711.36698495618,1711.3277239371,1717.45606257207
"134",1895.17425142935,1896.68490355046,1892.60566519024,1898.81840899179,1897.64790659714,1903.24814643283
"135",1915.3340272598,1893.35438744844,1898.20282274519,1899.56925048365,1904.41719142274,1905.7273579094
"136",1752.39298426659,1746.32750312779,1746.85158198702,1751.84383793256,1753.06683393237,1758.05805491689
"137",1912.54623693441,1895.19293600875,1885.54056108793,1890.68371602913,1891.75405093954,1896.88030230156
"138",1822.08375837907,1824.04659469576,1822.13641723808,1828.350900914,1827.28662146922,1833.50414846283
"139",1872.65263232639,1876.08900722103,1874.52329906314,1880.73786791831,1878.98597817074,1884.79026751992
"140",1960.3713909402,1939.24575865689,1939.47919817556,1943.79931694797,1945.69020443937,1949.80639033552
"141",1820.59841399173,1804.72462258256,1802.81587965682,1808.62114371124,1809.02327946126,1814.83930971158
"142",1753.54135371958,1759.45895948214,1759.39593388974,1765.61078233639,1765.2156970662,1771.42860769151
"143",1828.57167915701,1824.94425324085,1824.40241399435,1830.45285593371,1830.61707663327,1836.66726022716
"144",1847.33109648611,1853.12274991072,1852.8217871807,1859.03698234314,1856.84220113593,1863.05526001206
"145",1790.47671446107,1781.65371240611,1774.06660025886,1780.32706239147,1779.97721405584,1785.91928864045
"146",1998.35031043905,1986.24183604497,1982.81623204061,1989.0336916248,1989.04460309806,1995.25151432718
"147",1821.42028264132,1812.84754667799,1815.57566047409,1818.69330209098,1821.79248255548,1824.90734978425
"148",1769.02069663792,1757.38565597468,1758.79400755759,1761.76254762881,1765.0134339904,1767.96160322969
"149",1753.5428982286,1758.1669293512,1756.95450384806,1763.168763407,1761.04213302177,1767.14348404544
"150",1867.66964697727,1859.79620240596,1856.31613465972,1862.48919505018,1862.52763506197,1868.70556816039
"151",1844.04751905747,1842.07952406398,1840.20783232506,1846.42501261264,1846.21308298315,1852.42393952611
"152",1871.08300715475,1846.30368215653,1844.75584913392,1849.08920683022,1850.96240981444,1854.56275570585
"153",1780.52281228677,1785.84060187291,1786.04311297045,1792.05737214931,1792.25890178219,1798.27080830229
"154",1884.09884623025,1875.35638728871,1876.27769661013,1881.49461228606,1882.49502148568,1887.67623369237
