"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",784.966292064794,790.487803045726,790.487866133347,796.009134524358,794.452317070524,799.979286120718
"2",892.397876608598,896.688698442896,897.41313960732,902.210162428491,902.934571684202,907.734604683851
"3",882.531097500217,884.627587224612,885.247751273277,889.611826418222,890.769249627812,895.133220235946
"4",795.170095090212,800.538679572787,800.598769710905,806.0603155967,806.119743517097,811.582395009741
"5",722.466508747193,722.846783865633,723.269444531348,728.217780596734,728.790810012755,733.56756251973
"6",891.463323656373,893.395392244923,894.528352497878,898.915510137194,900.049409211042,904.440341751646
"7",880.780768609644,880.127312853901,880.349498088724,884.710284423155,885.871081772083,890.345031146591
"8",827.217307343645,832.739100461427,832.739511033957,838.260382031239,838.094574754545,843.616949484265
"9",865.762295339778,869.162865174932,869.52697365088,874.684470368886,875.047001104174,880.206285259467
"10",904.294256910852,909.753752622681,909.42926501622,914.950465685252,912.804056324034,918.325517023181
"11",879.888612440407,885.283296013486,884.955954559702,890.472572594356,887.978335570891,893.499089638462
"12",868.103547801098,873.624990344396,873.624933932848,879.146381856628,878.951934954273,884.473784674089
"13",780.103742907763,784.127185388212,784.197441820969,789.737377042951,789.718230191946,795.016295543998
"14",759.664972034865,758.12209467335,763.159108474378,763.634125608134,768.680663506494,769.155505211663
"15",883.368100961757,884.927398382655,886.150193244314,890.443680673282,891.671709400677,895.965216097606
"16",798.397563206613,803.440263253489,801.516654395771,807.002932401362,807.047483496009,812.474554626587
"17",880.786279241393,886.307512801078,886.308498682166,891.828861626034,891.829068375999,897.351498568333
"18",873.187490019316,871.746034057957,872.010866373708,877.216735034236,877.53237367304,882.514125198561
"19",838.14255193544,843.494116663407,843.569611611232,849.01559363562,849.091180109779,854.537039538812
"20",913.46704991158,918.495818172024,918.112978975522,923.65326932443,922.614265037708,928.136697213448
"21",918.172038257588,919.355962756933,920.345138367012,924.877507722211,925.867135952174,929.715878923429
