"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-1340.14623122277,-1332.38691898257,-1332.33120521108,-1331.99252872603,-1332.33052462529,-1332.00607304845
"2",-1277.01864050641,-1264.95407688572,-1264.9424737739,-1264.30849893536,-1264.9424778852,-1264.30849920753
"3",-1344.11348845091,-1328.82239287375,-1327.62736992229,-1327.6273705879,-1327.62580871857,-1327.6258082674
"4",-1309.57500181202,-1305.45232644212,-1303.62370409537,-1303.62370546725,-1302.26834021035,-1302.26836211961
"5",-1235.52452333232,-1230.52225077193,-1230.60672482501,-1230.37166701301,-1230.60783550059,-1230.37487991091
"6",-1276.68857429855,-1268.00110505695,-1265.65447571742,-1265.69999120893,-1265.60976802069,-1265.60839689448
"7",-1343.47929811425,-1337.68496753213,-1338.31107106087,-1337.6243402189,-1338.31066410232,-1337.63114161266
"8",-1275.64760222247,-1260.18666588911,-1260.44098805034,-1259.76623087805,-1260.44106823712,-1259.42083625456
"9",-1320.55958792498,-1314.21810392488,-1313.86958436822,-1313.82618501581,-1313.86926002305,-1313.82644624911
"10",-1264.61138837481,-1258.55140239956,-1256.48615937171,-1256.48616770914,-1256.42246218901,-1256.04921797185
"11",-1283.5509592364,-1277.48124872989,-1275.0390137496,-1275.03898917995,-1274.57687191528,-1274.45729946257
"12",-1273.77965287708,-1272.57512125331,-1272.1807741697,-1272.1808611696,-1271.9926820029,-1271.90129696205
"13",-1291.81105253254,-1281.89078314703,-1276.8490583899,-1276.38455909554,-1276.84908336221,-1276.38455916721
"14",-1298.44111769255,-1286.96594758672,-1286.05325924033,-1285.61927828993,-1286.05329918651,-1285.60517000091
"15",-1318.06616724244,-1309.78139584483,-1306.3935503187,-1306.3942124524,-1305.59777167172,-1305.7518585994
"16",-1256.07258546206,-1245.41594333417,-1247.39222928138,-1245.42765812061,-1247.39642667453,-1245.41592747338
"17",-1314.5578557952,-1304.79997201255,-1300.90741555044,-1300.90732124627,-1300.04531172173,-1300.02518322149
"18",-1308.28226456621,-1304.91001001269,-1303.24696942562,-1303.24696356696,-1302.98137965708,-1302.83994868206
"19",-1296.349952942,-1293.41816004617,-1292.93361987868,-1292.9333734992,-1292.76753749172,-1292.76614388278
"20",-1263.73752177604,-1258.81450383697,-1256.4600276032,-1256.46002775039,-1254.69047257837,-1254.69047320906
"21",-1314.81210121371,-1305.97503048345,-1305.68875975837,-1305.55606681605,-1305.68875666847,-1305.55594089842
"22",-1279.61363692753,-1275.75736416001,-1275.65742141681,-1275.66279547819,-1275.59051198572,-1275.59074541825
"23",-1293.91047101791,-1286.98830422319,-1280.55150532168,-1280.55110174903,-1280.55172940547,-1280.55227201549
"24",-1287.31159556432,-1278.30115374678,-1276.40221123986,-1276.17802014405,-1276.4024874966,-1276.17852104155
"25",-1293.38126162635,-1287.97292156837,-1283.87431399982,-1283.87638245135,-1283.87385892942,-1283.84846548281
"26",-1289.58479766912,-1277.30815787286,-1275.12610404384,-1275.01662707366,-1275.12674833435,-1275.01670833464
"27",-1343.26712586125,-1339.12653337379,-1337.93633812921,-1337.93635472752,-1337.46027311064,-1337.46027469789
"28",-1310.12371995432,-1304.11046746676,-1304.18719066251,-1303.89811577334,-1304.18727701254,-1303.89810820698
"29",-1290.97079558917,-1281.65989410799,-1277.41422637691,-1277.41423444813,-1277.35693954644,-1276.89181344505
"30",-1299.62753391171,-1285.76990863959,-1284.68188694923,-1284.245658395,-1284.6819234453,-1284.17799608847
"31",-1305.77089734386,-1293.25800539358,-1290.18201183737,-1290.15704249534,-1290.18201060218,-1290.15640514787
"32",-1347.71151958494,-1335.93179814488,-1334.65832381379,-1334.33625507352,-1334.65901218885,-1334.35106778437
"33",-1275.11474084018,-1264.65574570345,-1263.48330874971,-1263.34006101286,-1263.4833982558,-1263.29458345544
"34",-1281.16258977746,-1271.68786675956,-1270.98751047441,-1270.80744599701,-1270.9853086725,-1270.75703620963
"35",-1320.46458056348,-1318.91735397199,-1318.35310983896,-1318.35360410634,-1317.48666294399,-1317.34183849817
"36",-1316.49241816909,-1300.62833595251,-1301.16507229097,-1299.68740198048,-1301.16503653253,-1299.68757119895
"37",-1276.9931187647,-1274.07194907277,-1272.76656055423,-1272.76670958233,-1272.20749455884,-1272.14286545501
"38",-1321.19686227689,-1316.14496795757,-1316.71235558898,-1316.14511175552,-1316.7123931755,-1316.15146877778
"39",-1289.79875649844,-1277.15569583233,-1277.90218705994,-1276.86494935428,-1277.90218959911,-1276.86496126606
"40",-1282.01391565303,-1276.13151623608,-1276.61122133945,-1276.1189450385,-1276.61131325154,-1276.11908259694
"41",-1257.68794951942,-1241.97112207545,-1239.25831650483,-1239.25343306848,-1239.25731323484,-1239.24481062284
"42",-1267.28483642571,-1260.06607206002,-1259.21701515908,-1259.21557877699,-1259.21705556005,-1259.21555605376
"43",-1306.67001404749,-1298.79823346413,-1298.11360074868,-1297.99244805538,-1298.11360722884,-1297.99247831328
"44",-1301.1348500213,-1290.21415320419,-1292.70771077723,-1290.21413514486,-1292.7076757932,-1290.21438099081
"45",-1270.70343949841,-1267.79105236997,-1265.83050569548,-1265.83052683495,-1264.00087267533,-1263.77180217413
"46",-1290.33731788643,-1282.56254118202,-1282.04134696126,-1281.76180896938,-1282.04135320972,-1281.76156727868
"47",-1329.2609997445,-1317.15129940541,-1317.55855747844,-1316.98396280382,-1317.55849999969,-1316.98359276078
"48",-1341.95378485621,-1328.95849987565,-1325.5965183478,-1325.46452437477,-1325.5965184095,-1325.46452489827
"49",-1303.94447309554,-1290.67009173961,-1291.72522702918,-1290.28215440253,-1291.72532784223,-1290.28233564421
"50",-1317.54246870047,-1310.70865341181,-1310.52042762154,-1310.24057389105,-1310.52042741729,-1310.24057040747
"51",-1294.91488530302,-1281.86945716152,-1281.53852139232,-1281.15150477588,-1281.53852341546,-1281.14983360153
"52",-1281.61465760889,-1272.21069019962,-1271.56711397858,-1270.89696613673,-1271.56711413719,-1270.89696619353
"53",-1298.61626863871,-1292.79744557676,-1289.52166070744,-1289.52187364502,-1288.96002154126,-1288.96045985948
"54",-1289.89819968806,-1282.15582357644,-1280.35556756426,-1280.34781999861,-1280.36165461233,-1280.34692806145
"55",-1362.93017618394,-1353.03551496381,-1347.65608994848,-1347.65607635401,-1347.11181914825,-1347.11183561135
"56",-1275.28910939814,-1272.03051834997,-1270.77026419975,-1270.77047134472,-1270.10724027396,-1270.10730496384
"57",-1303.17286458577,-1293.55457165799,-1292.43049308367,-1292.42720842207,-1292.43049577431,-1292.38647917778
"58",-1312.08743401786,-1306.62268391093,-1304.35285110285,-1304.35284862259,-1304.24489567879,-1304.04934052848
"59",-1328.6035391692,-1310.50971884691,-1307.15852857339,-1306.97911014242,-1307.19070065936,-1307.12311842772
"60",-1340.01983839995,-1327.90904889057,-1325.06044442875,-1325.06071785174,-1325.05764757387,-1324.96975962499
"61",-1297.5582412203,-1291.01298130374,-1287.30595373215,-1287.30352907601,-1286.31350035481,-1286.19106407342
"62",-1330.69967382893,-1324.85801149206,-1321.04529781563,-1321.04547000454,-1320.65062429314,-1320.45076221566
"63",-1324.32188855542,-1315.31230322505,-1313.28873243379,-1313.23587767625,-1313.28874574313,-1313.24687553585
"64",-1297.04552799126,-1287.82218286315,-1288.40216342508,-1287.82234801943,-1288.40212058411,-1287.82112575242
"65",-1295.20221842398,-1287.77874821858,-1286.46584676625,-1286.46571357499,-1286.45380055573,-1286.45366526696
"66",-1315.749476705,-1305.88217563694,-1306.38235137833,-1305.51756721358,-1306.38088660898,-1305.51701051082
"67",-1310.89888150551,-1303.57343932153,-1302.43223390414,-1302.39769644715,-1302.43224195831,-1302.39569049377
"68",-1271.89204086351,-1270.2393905186,-1269.89629901193,-1269.89630341199,-1269.89461450293,-1269.80105962179
"69",-1282.4957932555,-1272.25194475237,-1271.65533948516,-1271.64665353496,-1271.65506861926,-1271.62787697237
"70",-1326.65716744053,-1316.35996681612,-1315.57957281481,-1315.32026898857,-1315.57950658977,-1315.33449029477
