"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-384.200954655604,-384.200979687138,-384.201011230949,-384.200914967523,-383.422506240607,-383.425260306772
"2",-437.916746927506,-437.301427385724,-437.663647967936,-437.30142891959,-437.663633547445,-437.302919588339
"3",-432.983357373315,-431.270871776581,-431.580953800914,-431.002260914455,-431.58097251925,-431.002227364386
"4",-389.302856168313,-389.226417950669,-389.256463019728,-389.226505503694,-389.256219463893,-389.226814751284
"5",-352.951062996803,-350.380470097092,-350.59180042995,-350.305238003712,-350.591752711722,-350.219398506278
"6",-437.449470451393,-435.654774286737,-436.221254413214,-435.654102773941,-436.221052310865,-435.655788122236
"7",-432.108192928028,-429.020734591226,-429.131827208637,-428.551489916922,-429.131888591386,-428.608132819709
"8",-405.326462295029,-405.326628394989,-405.326833681254,-405.326538720964,-405.243635082617,-405.244091988546
"9",-424.598956293096,-423.538510751742,-423.720564989715,-423.538582889787,-423.719848257431,-423.538759876147
"10",-443.864937078632,-443.833954475616,-443.671710672385,-443.671580547971,-442.598375867361,-442.598375758004
"11",-431.66211484341,-431.598726171019,-431.435055444127,-431.432634002523,-430.18551549079,-430.185162065644
"12",-425.769582523756,-425.769573336473,-425.7695451307,-425.769538633658,-425.672315182481,-425.672509583458
"13",-381.769680077088,-381.020670858382,-381.05579907476,-381.06503622682,-381.055462801317,-380.943765018412
"14",-371.550294640639,-368.01812550095,-370.536632401464,-368.013410509411,-370.536679458591,-368.013369852245
"15",-433.401859104085,-431.420777355603,-432.032174786432,-431.418188041985,-432.032202405683,-431.418225295216
"16",-390.916590226513,-390.67720979102,-389.715405362161,-389.697813906025,-389.720089453349,-389.672894559707
"17",-432.110948243903,-432.110834564814,-432.111327505358,-432.110778518361,-432.110881893344,-432.11136653058
"18",-428.311553632865,-424.830095193254,-424.96251135113,-424.804715222463,-424.962534541864,-424.692679845694
"19",-410.789084590927,-410.704136495979,-410.741883969892,-410.704144523155,-410.741937760234,-410.704137015819
"20",-448.451333578997,-448.204987250288,-448.013567652037,-448.02298236756,-447.503480224198,-447.503965853137
"21",-450.803827752,-448.635059542742,-449.129647347782,-448.63510156645,-449.129915681432,-448.293556708128
"22",-424.17004923077,-424.018297229499,-423.932189407766,-423.90558479868,-423.932935680566,-423.905589874036
"23",-438.16478487489,-438.157171214085,-438.150257956136,-438.150082212122,-437.416301565436,-437.415432113944
"24",-425.186703144786,-424.449670792687,-423.533296000746,-423.533263021963,-423.518560552657,-423.51622439387
"25",-438.251615515101,-438.092008523457,-438.030758694912,-438.030660727604,-437.30193084458,-437.689702972474
"26",-451.254698351343,-449.165741389099,-449.126121666382,-449.064218184273,-449.121984246582,-449.048652740004
"27",-412.528452971831,-412.301043695568,-412.325605437878,-412.295388288667,-412.325752120152,-412.295464209692
"28",-422.443377265693,-420.621379020973,-421.450818597662,-420.621152220372,-421.450827053337,-420.621166713089
"29",-452.01369154862,-449.580813823651,-449.357213464195,-449.173253538414,-449.35709262329,-448.922687765927
"30",-412.769394839496,-410.084123031122,-409.094765381145,-409.09452724707,-409.071047144378,-408.959924397378
"31",-470.647404570536,-469.98796230347,-469.928670501418,-469.923842221147,-469.928536110829,-469.918631479972
"32",-409.91470856043,-409.645109126268,-409.605254006591,-409.5862222717,-409.605247142611,-409.586227149636
"33",-381.281651286232,-381.019735112445,-381.026189818077,-381.011603443975,-381.026120018522,-381.012110534185
"34",-422.498673134645,-419.632279520414,-418.78052035354,-418.201696909405,-418.780965023212,-418.308016569409
"35",-388.453768028646,-388.453770206454,-388.453768580858,-388.453800628293,-387.568139574861,-387.91162525363
"36",-407.148175357438,-407.001904860405,-407.074710227012,-407.001879518264,-407.074680598459,-407.00167175962
"37",-475.28365082812,-473.95397343684,-473.856572001536,-473.522519924212,-473.856527920903,-473.522321368164
"38",-423.415143879976,-423.000835389138,-422.171504677618,-422.172355589562,-420.77735216978,-420.77730869834
"39",-420.78777542011,-420.788946551202,-420.787767868459,-420.78771773323,-420.516003297028,-420.515982960834
"40",-445.572858363733,-443.575170298351,-443.930670551289,-443.578883509218,-443.930361280222,-443.568659580172
"41",-416.359268997521,-415.06743507638,-415.063097355746,-415.066135164775,-415.063683044755,-415.00886459644
"42",-415.653264095862,-414.21406618532,-411.237290909635,-411.237575214217,-409.85129447784,-409.829795790216
"43",-401.384060496064,-401.384802639876,-401.384112837279,-401.383935859432,-400.27328812631,-400.27283117032
"44",-384.936752055315,-384.936738504825,-384.93689688188,-384.936747655322,-382.904592537985,-382.904179659884
"45",-427.295862214463,-427.021470024467,-426.738649136189,-426.738638295505,-426.27689850165,-426.280884985269
"46",-405.169759951015,-405.123669511928,-405.152102199843,-405.123677123396,-405.152094391877,-405.123657450263
"47",-454.468430477758,-453.105426308077,-453.436696456335,-453.069958133077,-453.436686735306,-452.803528675423
"48",-424.525960281776,-423.411441288116,-423.987594489034,-423.411446362663,-423.987593961173,-423.411475344299
"49",-440.412885687881,-438.056888617971,-438.38878459663,-437.782353018197,-438.388430323519,-437.782189410388
"50",-431.058647105507,-426.402979211512,-426.275691985241,-426.210013884931,-426.275787744763,-425.720157776566
"51",-418.678360874627,-418.16653968158,-418.485438026099,-418.166729114088,-418.485445603172,-418.166870132426
"52",-417.505229906484,-416.58212095341,-416.775022663532,-416.58620243311,-416.775367321864,-416.581734774862
"53",-419.894113864655,-418.669049258664,-418.521602488219,-418.597796042646,-418.522930368742,-418.52276050966
"54",-431.999492276667,-431.999554320999,-431.999466690612,-431.999586999479,-431.999498122479,-432.000059159951
"55",-452.423939444574,-449.556747699732,-448.543578555008,-448.523853870235,-448.548664507774,-448.520788666641
"56",-388.39376242951,-387.157653320578,-387.606036408337,-387.157647363257,-387.60629627777,-387.157685519095
"57",-429.972391303292,-429.0848235402,-426.855192074386,-426.856970041776,-426.661143331047,-426.62944748907
"58",-436.249923000749,-436.246407912943,-436.247364916301,-436.24781250938,-436.251939269488,-436.24660178328
"59",-390.847032281647,-390.731796646009,-390.747706476746,-390.732155569307,-390.747572282096,-390.731517682566
"60",-443.711550441639,-443.50349074349,-443.48281882538,-443.481614487299,-443.482793035797,-443.480936255779
"61",-416.86236238971,-415.220919552855,-415.603391863131,-415.137573573295,-415.603393782567,-415.137594392232
"62",-430.012699453415,-429.211903548603,-428.881290613596,-428.881643015151,-428.847728083717,-428.841983889736
"63",-446.789690732611,-446.661546838699,-446.713757244254,-446.661548358403,-446.713757108415,-446.661495917267
"64",-385.274454740806,-385.274531372121,-385.274394699066,-385.274030820261,-385.274932859542,-385.274071851505
"65",-423.726248813313,-422.528763787211,-422.401908241339,-422.306302815641,-422.402001219394,-422.306660277248
"66",-396.869850353523,-396.869883017354,-396.870007557124,-396.86992494418,-396.869810608011,-396.878304569173
"67",-451.68991407134,-449.846285186811,-450.034771158117,-449.812944447477,-450.035210492773,-449.812571603517
"68",-427.69541090699,-427.354588719183,-427.271044035563,-427.278933173815,-427.234444577696,-427.20294733738
"69",-421.599338857898,-419.708418611349,-420.33053156859,-419.708271484789,-420.326726981123,-419.706969375017
"70",-409.631932149468,-407.659625372312,-406.04230990623,-406.020432419866,-406.041260174087,-405.9738060928
"71",-415.303534991546,-414.971443998866,-415.009964891449,-414.971208441012,-415.009549723593,-414.971205291069
"72",-411.099158581162,-411.000852250384,-411.029062900856,-411.000582252099,-411.029149086209,-411.001205042164
"73",-396.040924250364,-394.815472074172,-394.890568846977,-394.789431105524,-394.889940834413,-394.802725189184
"74",-428.486112831923,-428.240631067893,-428.335937512753,-428.240804315994,-428.33590774647,-428.240633136572
"75",-430.519580671703,-427.247462116911,-428.405052625753,-427.239123876734,-428.405054422106,-427.239056907562
"76",-445.718508530146,-443.812038492645,-444.321833902112,-443.797197255292,-444.321222993062,-443.791081182144
"77",-429.864238709819,-428.629826102656,-428.428506231593,-428.428572456257,-428.425529080441,-428.425966294247
"78",-459.434867857345,-459.357848799204,-459.362828595053,-459.362783211068,-459.362794321276,-459.357512332262
"79",-444.088581882989,-442.092567352176,-442.810830598795,-442.091790998237,-442.810833173508,-442.091784590886
"80",-424.581668482066,-423.916343225869,-423.203349231151,-423.203502199259,-422.9411574769,-422.807057774836
